GyroX,GyroY,GyroZ
-0.01101,-0.01359,-0.02315
-0.01101,-0.01359,-0.02315
-0.01101,-0.01359,-0.02315
-0.01101,-0.01359,-0.02315
-0.01101,-0.01359,-0.02315
0.01936,0.01677,0.00721
0.01936,0.01677,0.00721
0.01936,0.01677,0.00721
0.01936,0.01677,0.00721
0.01936,0.01677,0.00721
0.01936,0.01677,0.00721
-0.00342,-0.04395,-0.01556
-0.00342,-0.04395,-0.01556
-0.00342,-0.04395,-0.01556
-0.00342,-0.04395,-0.01556
-0.00342,-0.04395,-0.01556
-0.00342,-0.04395,-0.01556
-0.01101,-0.006,0.06793
-0.01101,-0.006,0.06793
-0.01101,-0.006,0.06793
-0.01101,-0.006,0.06793
-0.01101,-0.006,0.06793
0.02695,-0.03636,0.02239
0.02695,-0.03636,0.02239
0.02695,-0.03636,0.02239
0.02695,-0.03636,0.02239
0.02695,-0.03636,0.02239
0.02695,-0.03636,0.02239
-0.0186,-0.03636,0.04516
-0.0186,-0.03636,0.04516
-0.0186,-0.03636,0.04516
-0.0186,-0.03636,0.04516
-0.0186,-0.03636,0.04516
-0.0186,-0.03636,0.04516
-0.05655,-0.07431,0.04516
-0.05655,-0.07431,0.04516
-0.05655,-0.07431,0.04516
-0.05655,-0.07431,0.04516
-0.05655,-0.07431,0.04516
-0.05655,-0.07431,0.04516
0.02695,0.00159,0.00721
0.02695,0.00159,0.00721
0.02695,0.00159,0.00721
0.02695,0.00159,0.00721
0.02695,0.00159,0.00721
0.02695,0.00159,0.00721
-0.02619,0.03195,-0.00038
-0.02619,0.03195,-0.00038
-0.02619,0.03195,-0.00038
-0.02619,0.03195,-0.00038
-0.02619,0.03195,-0.00038
0.01176,0.03954,0.02239
0.01176,0.03954,0.02239
0.01176,0.03954,0.02239
0.01176,0.03954,0.02239
0.01176,0.03954,0.02239
0.01176,0.03954,0.02239
-0.00342,0.04713,-0.01556
-0.00342,0.04713,-0.01556
-0.00342,0.04713,-0.01556
-0.00342,0.04713,-0.01556
-0.00342,0.04713,-0.01556
-0.00342,0.04713,-0.01556
-0.00342,-0.05154,0.00721
-0.00342,-0.05154,0.00721
